,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,name_length,description_length,host_about_length,verifications_length,amenities_length,host_since_days,first_reviews_days,last_review_days,price_per_accommodates,has_Hair_dryer,flag
9977,1.0,0.88,1.0,2.0,1.0,40.67548,-73.9815,2.0,1.0,2.0,115.0,1.0,31.0,120.0,2.0,98.0,0.0,2.1,8.0,164.0,46.0,7.0,25.0,2018.0,1714.0,5.0,57.5,1.0,1
5800,1.0,1.0,0.0,2.0,1.0,40.596270000000004,-73.97287,4.0,2.0,3.0,66.0,5.0,29.0,262.0,3.0,94.0,0.0,3.91,6.0,151.0,63.0,4.0,39.0,2335.0,2007.0,9.0,16.5,1.0,1
24097,1.0,0.93,1.0,2.0,1.0,40.63455,-74.02282,3.0,1.0,2.0,61.0,1.0,1125.0,45.0,0.0,99.0,0.0,2.13,7.0,172.0,18.0,5.0,31.0,2857.0,634.0,41.0,20.333333333333332,1.0,1
15473,1.0,0.9,0.0,1.0,0.0,40.66923,-73.92636,2.0,1.0,3.0,54.0,2.0,1125.0,100.0,0.0,98.0,1.0,2.4,9.0,157.0,107.0,4.0,37.0,2803.0,1250.0,33.0,27.0,1.0,1
9633,1.0,1.0,0.0,3.0,1.0,40.7365,-73.98089,1.0,1.0,1.0,75.0,2.0,1125.0,49.0,0.0,96.0,1.0,0.82,6.0,147.0,56.0,6.0,24.0,2368.0,1785.0,132.0,75.0,1.0,1
9276,1.0,0.92,0.0,7.0,1.0,40.67415,-73.9163,2.0,1.0,1.0,49.0,30.0,1125.0,136.0,0.0,97.0,1.0,2.34,3.0,149.0,11.0,6.0,28.0,2037.0,1743.0,116.0,24.5,1.0,1
23059,0.75,0.8,0.0,0.0,1.0,40.692170000000004,-73.93484000000001,2.0,1.0,1.0,36.0,30.0,30.0,53.0,0.0,92.0,1.0,2.26,10.0,127.0,48.0,7.0,22.0,731.0,704.0,335.0,18.0,1.0,1
31351,1.0,0.38,0.0,0.0,0.0,40.720009999999995,-73.95585,1.0,1.0,0.7247581381099266,55.0,30.0,30.0,4.0,0.0,100.0,0.0,0.47,7.0,110.0,20.0,4.0,17.0,3508.0,252.0,101.0,55.0,1.0,0
791,1.0,1.0,0.0,2.0,0.0,40.77308,-73.9516,2.0,1.0,1.0,229.0,4.0,14.0,13.0,0.0,98.0,1.0,0.12,7.0,147.0,57.0,3.0,38.0,3169.0,3130.0,361.0,114.5,1.0,1
3435,1.0,1.0,0.0,0.0,1.0,40.712559999999996,-74.00623,2.0,1.0,1.0,49.0,1.0,1125.0,3.0,1.0,100.0,1.0,0.7,6.0,121.0,75.0,7.0,12.0,2371.0,127.0,19.0,24.5,1.0,1
32004,1.0,0.99,1.0,3.0,1.0,40.75888,-73.99023000000001,2.0,1.0,1.0,36.0,1.0,28.0,14.0,1.0,100.0,1.0,4.57,4.0,144.0,25.0,8.0,27.0,2473.0,91.0,22.0,18.0,1.0,1
212,1.0,0.97,1.0,27.0,1.0,40.737559999999995,-73.9535,4.0,1.0,2.0,349.0,30.0,365.0,8.0,0.0,100.0,0.0,0.07,7.0,164.0,16.0,6.0,22.0,3629.0,3365.0,1776.0,87.25,1.0,1
802,1.0,1.0,1.0,1.0,0.0,40.72933,-73.9816,2.0,0.7597302656045528,0.0,90.0,4.0,45.0,162.0,1.0,92.0,0.0,1.55,4.0,167.0,11.0,4.0,22.0,4073.0,3130.0,18.0,45.0,1.0,0
196,1.0,0.67,0.0,2.0,1.0,40.78,-73.98249,2.0,1.0,1.0,140.0,30.0,120.0,53.0,1.0,96.0,1.0,0.5,5.0,162.0,224.0,10.0,24.0,3672.0,3203.0,17.0,70.0,1.0,1
32708,0.9,1.0,0.0,1.0,0.0,40.74442,-73.97593,4.0,1.0,1.0,92.0,2.0,90.0,3.0,0.0,93.0,0.0,0.84,7.0,85.0,10.0,3.0,15.0,1429.0,106.0,32.0,23.0,1.0,1
4462,1.0,0.97,1.0,0.0,1.0,40.71763,-73.98359,6.0,2.0,2.0,295.0,3.0,21.0,27.0,0.0,99.0,0.0,0.41,7.0,168.0,143.0,8.0,32.0,2318.0,1986.0,391.0,49.166666666666664,1.0,1
31683,0.83,0.75,0.0,1.0,1.0,40.86107,-73.86255,2.0,1.0,1.0,78.0,30.0,1125.0,1.0,0.0,100.0,0.0,0.37,8.0,104.0,82.0,4.0,26.0,2977.0,80.0,80.0,39.0,1.0,1
19560,0.92,0.95,0.0,4.0,0.0,40.65775,-73.91892,8.0,3.0,3.0,150.0,3.0,1125.0,45.0,0.0,94.0,0.0,1.46,7.0,177.0,30.0,6.0,30.0,3255.0,922.0,69.0,18.75,1.0,1
22047,1.0,0.0,0.0,1.0,1.0,40.68755,-73.97224,2.0,1.0,2.0,90.0,60.0,90.0,3.0,0.0,93.0,0.0,0.15,6.0,174.0,70.0,5.0,25.0,1370.0,596.0,544.0,45.0,1.0,1
32199,1.0,1.0,0.0,0.0,1.0,40.742059999999995,-74.00228,4.0,2.0,2.0,190.0,2.0,1125.0,13.0,1.0,98.0,1.0,1.94,8.0,123.0,364.0,7.0,32.0,2460.0,200.0,21.0,47.5,1.0,1
17117,1.0,0.75,1.0,1.0,1.0,40.6953,-73.9476,2.0,1.0,1.0,122.0,4.0,180.0,55.0,0.0,100.0,0.0,1.52,3.0,170.0,23.0,8.0,31.0,1866.0,1083.0,417.0,61.0,1.0,1
25116,0.5,0.0,1.0,3.0,1.0,40.69171,-73.90956,2.0,1.0,2.0,90.0,3.0,60.0,1.0,0.0,100.0,0.0,0.05,7.0,145.0,24.0,8.0,40.0,3112.0,548.0,548.0,45.0,1.0,1
11415,1.0,0.97,1.0,2.0,0.0,40.75593,-73.85687,5.0,2.0,2.0,55.0,2.0,14.0,232.0,0.0,98.0,0.0,4.31,4.0,152.0,87.0,3.0,23.0,1669.0,1613.0,162.0,11.0,1.0,1
25900,1.0,1.0,0.0,4.0,1.0,40.69007,-73.94211999999999,3.0,1.0,3.0,29.0,30.0,1125.0,4.0,0.0,85.0,1.0,0.25,5.0,163.0,89.0,6.0,30.0,563.0,484.0,41.0,9.666666666666666,0.0,1
4424,1.0,0.29,1.0,3.0,1.0,40.715790000000005,-73.99253,2.0,1.0,0.0,100.0,30.0,1125.0,10.0,0.0,98.0,0.0,0.14,7.0,61.0,55.0,8.0,16.0,2490.0,2193.0,421.0,50.0,0.0,1
26498,1.0,0.94,0.0,1318.0,1.0,40.71033,-74.0133,2.0,1.0,1.0,132.0,30.0,1125.0,1.0,1.0,100.0,1.0,1.0,11.0,153.0,184.0,6.0,26.0,1923.0,7.0,7.0,66.0,1.0,1
21041,1.0,0.98,1.0,1.0,0.0,40.62704,-74.1277,5.0,3.0,3.0,99.0,5.0,28.0,64.0,2.0,98.0,0.0,2.67,6.0,161.0,116.0,2.0,33.0,829.0,719.0,21.0,19.8,1.0,1
1214,1.0,1.0,0.0,1.0,1.0,40.69763,-73.93101999999999,1.0,1.0,0.0,36.0,2.0,90.0,18.0,0.0,92.0,0.0,0.25,4.0,154.0,21.0,7.0,25.0,2986.0,2128.0,1586.0,36.0,0.0,1
31987,0.95,0.99,0.0,9.0,1.0,40.74654,-73.98704000000001,3.0,1.3577990451456508,2.0,58.0,1.0,365.0,26.0,2.0,92.0,1.0,3.77,6.0,147.0,7.0,6.0,16.0,2725.0,206.0,17.0,19.333333333333332,1.0,0
29931,1.0,0.94,0.0,1318.0,1.0,40.791470000000004,-73.97480999999999,2.0,1.0,1.0,136.0,30.0,1125.0,2.0,1.0,100.0,1.0,0.35,8.0,154.0,184.0,6.0,32.0,1922.0,170.0,7.0,68.0,1.0,1
33667,1.0,0.75,1.0,3.0,1.0,40.69153,-73.9389,6.0,3.0,4.0,150.0,2.0,1125.0,6.0,2.0,100.0,0.0,2.57,6.0,153.0,229.0,8.0,50.0,2240.0,69.0,19.0,25.0,1.0,1
11806,1.0,0.71,1.0,5.0,1.0,40.72112,-73.94256,3.0,1.213905274819048,1.0,73.0,30.0,90.0,16.0,0.0,97.0,0.0,0.31,5.0,94.0,36.0,6.0,13.0,1901.0,1531.0,311.0,24.333333333333332,1.0,0
9634,0.96,0.92,1.0,125.0,0.0,40.75387,-73.96744,3.0,1.0,1.0,75.0,30.0,365.0,14.0,0.0,93.0,0.0,0.24,5.0,36.0,93.0,3.0,21.0,1801.0,1714.0,159.0,25.0,1.0,1
13646,1.0,0.94,1.0,6.0,1.0,40.68962,-73.93469,4.0,2.0,1.0,120.0,2.0,30.0,86.0,0.0,95.0,1.0,1.98,3.0,155.0,143.0,7.0,37.0,1474.0,1299.0,354.0,30.0,1.0,1
3773,0.8,0.56,1.0,2.0,1.0,40.80469,-73.94594000000001,12.0,5.0,8.0,1000.0,3.0,1125.0,52.0,0.0,99.0,1.0,0.72,4.0,153.0,131.0,6.0,36.0,2648.0,2154.0,326.0,83.33333333333333,1.0,1
1120,1.0,0.73,1.0,0.0,1.0,40.71918,-73.9596,2.0,1.0,1.0,159.0,5.0,90.0,82.0,0.0,95.0,0.0,0.83,8.0,160.0,18.0,4.0,31.0,3011.0,2960.0,329.0,79.5,1.0,1
17692,1.0,0.52,1.0,3.0,0.0,40.7112,-73.95831,1.0,1.0,1.0,68.0,28.0,1125.0,10.0,0.0,98.0,0.0,0.35,7.0,174.0,26.0,5.0,23.0,3328.0,859.0,189.0,68.0,1.0,1
34570,1.0,0.51,0.0,1.0,0.0,40.716609999999996,-74.00028,2.0,1.0,1.0,125.0,2.0,365.0,10.0,2.0,100.0,0.0,3.49,6.0,144.0,21.0,5.0,39.0,2409.0,85.0,7.0,62.5,1.0,1
32304,1.0,1.0,0.0,36.0,0.0,40.749159999999996,-73.99544,1.0,1.0,1.0,53.0,30.0,180.0,5.0,0.0,72.0,1.0,0.88,4.0,100.0,68.0,3.0,28.0,728.0,170.0,76.0,53.0,0.0,1
29112,1.0,0.82,1.0,1.0,0.0,40.74501,-73.82616999999999,6.0,2.0,4.0,225.0,30.0,1125.0,10.0,0.0,98.0,0.0,0.82,9.0,159.0,57.0,2.0,46.0,2031.0,367.0,42.0,37.5,1.0,1
21181,0.69,0.86,0.0,2.0,1.0,40.755359999999996,-73.88831,2.0,1.0,1.0,85.0,1.0,1125.0,77.0,1.0,93.0,0.0,2.9,10.0,137.0,7.0,5.0,30.0,1757.0,796.0,14.0,42.5,1.0,1
3872,1.0,0.81,0.0,2.0,1.0,40.66428,-73.92911,3.0,1.1620105185491028,1.0,70.0,30.0,1125.0,118.0,0.0,86.0,0.0,1.58,5.0,162.0,26.0,5.0,35.0,3765.0,2235.0,110.0,23.333333333333332,1.0,0
14316,1.0,1.0,1.0,2.0,1.0,40.686409999999995,-73.9418,5.0,2.0,3.0,95.0,1.0,1125.0,181.0,5.0,96.0,1.0,4.09,3.0,170.0,58.0,8.0,43.0,1345.0,1326.0,5.0,19.0,1.0,1
8172,1.0,1.0,1.0,1.0,1.0,40.66195,-73.95275,4.0,1.0,1.0,95.0,6.0,30.0,184.0,3.0,97.0,1.0,2.92,8.0,165.0,60.0,4.0,35.0,3732.0,1888.0,12.0,23.75,1.0,1
3136,1.0,0.73,1.0,4.0,0.0,40.6705,-73.97954,2.0,1.0,1.0,185.0,2.0,60.0,20.0,0.0,99.0,0.0,0.26,6.0,153.0,37.0,4.0,20.0,2422.0,2321.0,558.0,92.5,0.0,1
32465,1.0,0.99,0.0,38.0,1.0,40.748259999999995,-73.98679,3.0,1.3486991599932487,2.0,70.0,1.0,1125.0,5.0,2.0,84.0,1.0,1.18,8.0,155.0,36.0,6.0,27.0,248.0,126.0,18.0,23.333333333333332,1.0,0
11996,0.93,0.46,0.0,5.0,1.0,40.65609,-73.96093,2.0,1.0,1.0,29.0,30.0,1125.0,2.0,0.0,100.0,0.0,0.04,5.0,19.0,64.0,8.0,6.0,2040.0,1511.0,616.0,14.5,0.0,1
17037,1.0,0.83,1.0,1.0,1.0,40.712559999999996,-73.9943,2.0,1.0,1.0,65.0,30.0,1125.0,52.0,0.0,98.0,0.0,1.38,3.0,72.0,36.0,10.0,26.0,3000.0,1130.0,327.0,32.5,0.0,1
18190,1.0,1.0,0.0,2.0,1.0,40.82558,-73.94926,4.0,1.0,3.0,185.0,5.0,30.0,5.0,0.0,100.0,0.0,0.31,7.0,162.0,28.0,6.0,21.0,2524.0,478.0,110.0,46.25,1.0,1
3951,1.0,0.0,0.0,2.0,0.0,40.73604,-74.0056,2.0,1.0749209031764622,1.0,130.0,30.0,180.0,1.0,0.0,100.0,0.0,0.04,6.0,81.0,91.0,4.0,28.0,2301.0,774.0,774.0,65.0,1.0,0
8282,0.87,0.48,0.0,51.0,1.0,40.75161,-73.97109,3.0,1.4844426746724757,2.0,63.0,30.0,365.0,5.0,0.0,96.0,0.0,0.1,7.0,75.0,48.0,8.0,19.0,3350.0,1547.0,33.0,21.0,0.0,0
6827,1.0,0.43,0.0,18.0,0.0,40.75547,-73.91866999999999,2.0,1.0,3.0,55.0,30.0,1125.0,13.0,0.0,95.0,0.0,0.2,7.0,90.0,385.0,3.0,20.0,3099.0,1970.0,410.0,27.5,1.0,1
984,0.63,0.75,0.0,1.0,1.0,40.72058,-73.99086,2.0,0.9997274231928088,1.0,75.0,30.0,1125.0,113.0,0.0,93.0,0.0,1.11,6.0,138.0,65.0,10.0,29.0,3086.0,3066.0,72.0,37.5,1.0,0
25692,0.0,0.83,1.0,0.0,1.0,40.7195,-73.99561,4.0,1.0,2.0,275.0,30.0,1125.0,27.0,0.0,100.0,1.0,1.49,6.0,167.0,32.0,6.0,31.0,563.0,541.0,314.0,68.75,1.0,1
26961,1.0,0.98,1.0,1.0,1.0,40.69601,-73.94858,2.0,1.0,1.0,48.0,2.0,1125.0,39.0,1.0,97.0,0.0,2.5,3.0,177.0,26.0,6.0,32.0,1873.0,467.0,25.0,24.0,1.0,1
1948,1.0,0.67,0.0,1.0,1.0,40.802659999999996,-73.94728,5.0,2.0,3.0,180.0,14.0,1000.0,82.0,0.0,93.0,0.0,0.94,6.0,151.0,8.0,8.0,39.0,2677.0,2626.0,279.0,36.0,1.0,1
88,0.4,0.17,0.0,2.0,1.0,40.72354,-73.98295,3.0,2.0,2.0,125.0,1.0,1125.0,34.0,0.0,88.0,0.0,0.27,2.0,189.0,99.0,6.0,29.0,3891.0,3804.0,540.0,41.666666666666664,1.0,1
22667,1.0,1.0,0.0,2.0,1.0,40.70132,-73.92206999999999,3.0,1.0,1.0,95.0,5.0,1125.0,51.0,0.0,99.0,0.0,2.11,4.0,164.0,146.0,4.0,27.0,2741.0,723.0,327.0,31.666666666666668,1.0,1
34076,1.0,1.0,1.0,2.0,1.0,40.81427,-73.94579,7.0,3.0,5.0,350.0,3.0,1125.0,2.0,1.0,100.0,0.0,1.71,3.0,134.0,10.0,8.0,42.0,1802.0,34.0,19.0,50.0,1.0,1
27896,1.0,0.88,1.0,1.0,1.0,40.69425,-73.73348,4.0,2.0,2.0,213.0,3.0,29.0,22.0,0.0,98.0,0.0,1.61,7.0,181.0,49.0,5.0,32.0,877.0,408.0,34.0,53.25,0.0,1
31000,0.9,0.9,0.0,5.0,1.0,40.743759999999995,-73.97724000000001,1.0,1.0,1.0,47.0,3.0,1125.0,2.0,0.0,100.0,0.0,0.32,9.0,171.0,103.0,6.0,23.0,466.0,189.0,55.0,47.0,0.0,1
976,1.0,0.63,1.0,1.0,1.0,40.76287,-73.9957,2.0,1.024751311798994,1.0,118.0,30.0,30.0,47.0,0.0,99.0,0.0,0.46,6.0,165.0,19.0,6.0,18.0,3106.0,3055.0,400.0,59.0,1.0,0
11670,1.0,0.7,1.0,1.0,1.0,40.72603,-73.97868000000001,2.0,1.0,2.0,150.0,6.0,90.0,41.0,1.0,98.0,0.0,0.76,5.0,157.0,54.0,4.0,26.0,3487.0,1614.0,19.0,75.0,1.0,1
27691,1.0,0.97,0.0,4.0,0.0,40.69344,-73.97117,2.0,1.0,1.0,44.0,1.0,40.0,35.0,7.0,99.0,0.0,2.29,6.0,170.0,43.0,2.0,28.0,1957.0,457.0,4.0,22.0,1.0,1
24502,0.5,0.99,0.0,5.0,1.0,40.755320000000005,-73.99329,2.0,1.0,1.0,119.0,1.0,28.0,2.0,0.0,70.0,1.0,0.22,4.0,127.0,64.0,2.0,15.0,626.0,278.0,250.0,59.5,0.0,1
29246,1.0,0.67,0.0,2.0,1.0,40.654509999999995,-73.83551999999999,4.0,1.0,1.0,88.0,30.0,1125.0,3.0,0.0,100.0,0.0,0.23,9.0,165.0,8.0,9.0,39.0,1209.0,390.0,334.0,22.0,1.0,1
22458,1.0,0.94,0.0,2.0,0.0,40.679829999999995,-73.90841,4.0,1.0,2.0,93.0,1.0,1125.0,67.0,2.0,88.0,1.0,3.73,5.0,131.0,16.0,2.0,27.0,1678.0,538.0,28.0,23.25,1.0,1
444,1.0,0.97,1.0,27.0,1.0,40.737559999999995,-73.9535,4.0,1.0,0.0,149.0,3.0,365.0,55.0,0.0,98.0,0.0,0.51,2.0,151.0,16.0,6.0,35.0,3630.0,3231.0,146.0,37.25,1.0,1
25548,1.0,0.9,1.0,2.0,1.0,40.745979999999996,-73.98416999999999,4.0,2.0389038754625446,4.0,70.0,30.0,60.0,27.0,1.0,99.0,0.0,1.45,8.0,136.0,37.0,6.0,34.0,2450.0,559.0,6.0,17.5,1.0,0
5027,1.0,0.85,1.0,1.0,1.0,40.693540000000006,-73.96152,8.0,3.0,4.0,166.0,30.0,1125.0,128.0,0.0,98.0,0.0,2.48,6.0,159.0,18.0,6.0,29.0,2241.0,1545.0,76.0,20.75,1.0,1
26929,1.0,0.96,0.0,6.0,1.0,40.74684,-73.99207,4.0,1.5689745744723638,2.0,61.0,30.0,182.0,3.0,0.0,87.0,0.0,0.22,5.0,172.0,57.0,4.0,26.0,591.0,417.0,54.0,15.25,0.0,0
1908,0.0,1.0,0.0,1.0,1.0,40.7474,-73.97847,1.0,1.0,1.0,79.0,2.0,1125.0,140.0,0.0,96.0,0.0,1.57,7.0,178.0,250.0,4.0,33.0,3814.0,2680.0,447.0,79.0,1.0,1
1653,1.0,0.0,0.0,1.0,1.0,40.84346,-73.94471,3.0,1.0,1.0,110.0,30.0,62.0,11.0,0.0,98.0,0.0,0.12,6.0,163.0,73.0,5.0,21.0,3122.0,2745.0,526.0,36.666666666666664,1.0,1
31171,1.0,0.87,0.0,1.0,0.0,40.71609,-73.94503,3.0,1.0,2.0,33.0,1.0,1125.0,3.0,1.0,100.0,0.0,2.5,2.0,26.0,8.0,3.0,18.0,2612.0,35.0,2.0,11.0,1.0,1
21621,1.0,0.99,0.0,1337.0,1.0,40.7079,-74.00617,2.0,0.9909469186274471,1.0,244.0,30.0,1125.0,1.0,0.0,100.0,1.0,0.37,9.0,154.0,251.0,9.0,26.0,1513.0,79.0,79.0,122.0,1.0,0
7309,1.0,0.75,0.0,2.0,1.0,40.80281,-73.94644,6.0,1.0,3.0,155.0,6.0,28.0,58.0,0.0,96.0,0.0,0.9,5.0,175.0,30.0,6.0,25.0,2755.0,1931.0,400.0,25.833333333333332,1.0,1
12422,0.96,0.92,1.0,125.0,0.0,40.777229999999996,-73.95525,3.0,1.213576223242388,1.0,65.0,30.0,365.0,15.0,0.0,97.0,0.0,0.31,8.0,55.0,93.0,3.0,23.0,1800.0,1442.0,161.0,21.666666666666668,1.0,0
31794,0.93,0.86,1.0,1.0,1.0,40.70346,-73.91925,4.0,1.0,2.0,164.0,1.0,1125.0,18.0,2.0,98.0,0.0,2.52,3.0,26.0,5.0,6.0,29.0,1848.0,213.0,19.0,41.0,1.0,1
17985,0.92,0.95,1.0,1.0,0.0,40.729659999999996,-73.98331999999999,2.0,1.0,2.0,64.0,1.0,30.0,287.0,5.0,96.0,1.0,8.55,8.0,180.0,47.0,2.0,22.0,1059.0,1006.0,8.0,32.0,1.0,1
862,1.0,0.95,1.0,13.0,1.0,40.68634,-73.95055,1.0,1.0,1.0,50.0,30.0,1125.0,42.0,0.0,93.0,0.0,0.51,8.0,144.0,105.0,7.0,30.0,671.0,2462.0,539.0,50.0,1.0,1
331,1.0,0.85,1.0,2.0,1.0,40.86466,-73.85709,5.0,1.0,2.0,100.0,2.0,120.0,305.0,0.0,93.0,0.0,2.66,6.0,150.0,145.0,7.0,39.0,3483.0,3443.0,35.0,20.0,1.0,1
16226,1.0,0.99,0.0,8.0,1.0,40.68549,-73.91199,3.0,1.0,1.0,52.0,1.0,31.0,34.0,0.0,93.0,0.0,0.86,8.0,160.0,70.0,5.0,29.0,1355.0,1180.0,87.0,17.333333333333332,0.0,1
12419,1.0,0.71,1.0,1.0,1.0,40.7413,-74.00107,2.0,1.0,1.0,125.0,4.0,1125.0,50.0,0.0,97.0,0.0,0.99,8.0,157.0,6.0,8.0,27.0,3576.0,1509.0,199.0,62.5,1.0,1
412,1.0,0.75,0.0,1.0,0.0,40.70832,-73.94157,5.0,1.0,1.0,126.0,1.0,22.0,37.0,0.0,92.0,0.0,0.36,7.0,162.0,20.0,4.0,19.0,3406.0,3063.0,34.0,25.2,0.0,1
17458,0.83,1.0,1.0,1.0,1.0,40.72818,-73.98789000000001,2.0,1.0,1.0,139.0,2.0,1000.0,34.0,0.0,99.0,1.0,0.93,7.0,131.0,67.0,6.0,24.0,2408.0,1097.0,44.0,69.5,1.0,1
18418,1.0,1.0,0.0,1.0,1.0,40.72444,-73.9897,7.0,3.0,8.0,450.0,2.0,1125.0,82.0,3.0,94.0,0.0,2.43,7.0,162.0,9.0,8.0,45.0,2579.0,1012.0,7.0,64.28571428571429,1.0,1
1486,1.0,0.6,1.0,1.0,1.0,40.74197,-73.99701999999999,2.0,1.0,1.0,149.0,3.0,1125.0,145.0,0.0,98.0,0.0,1.53,7.0,167.0,155.0,5.0,36.0,2851.0,2839.0,340.0,74.5,1.0,1
2567,1.0,0.71,0.0,2.0,1.0,40.683859999999996,-73.99924,4.0,2.0,3.0,185.0,2.0,7.0,10.0,0.0,90.0,0.0,0.13,6.0,158.0,26.0,6.0,20.0,3793.0,2259.0,467.0,46.25,0.0,1
20166,0.96,0.26,0.0,6.0,1.0,40.71156,-73.95623,4.0,2.0,4.0,50.0,30.0,150.0,19.0,0.0,93.0,0.0,0.73,8.0,145.0,153.0,7.0,22.0,2291.0,776.0,76.0,12.5,1.0,1
13144,1.0,0.0,0.0,2.0,1.0,40.80731,-73.96689,1.0,1.0,1.0,35.0,30.0,1125.0,7.0,0.0,90.0,0.0,0.15,5.0,132.0,9.0,7.0,22.0,2573.0,1365.0,942.0,35.0,1.0,1
9163,1.0,0.67,1.0,2.0,0.0,40.68403,-74.00192,2.0,1.0,1.0,100.0,30.0,1125.0,6.0,1.0,100.0,0.0,0.12,6.0,90.0,10.0,3.0,29.0,3302.0,1495.0,18.0,50.0,0.0,1
24264,0.98,0.97,1.0,5.0,1.0,40.64124,-73.96507,3.0,1.127720783462422,1.0,69.0,2.0,28.0,107.0,2.0,98.0,0.0,5.38,6.0,178.0,51.0,8.0,34.0,2152.0,596.0,6.0,23.0,1.0,0
29241,0.0,1.0,0.0,18.0,1.0,40.85581,-73.86386,4.0,1.0,2.0,56.0,2.0,1125.0,6.0,0.0,90.0,0.0,0.47,8.0,33.0,12.0,5.0,23.0,1050.0,383.0,173.0,14.0,1.0,1
18091,0.0,1.0,0.0,18.0,1.0,40.8133,-73.95206,3.0,0.9244526024081381,0.0,70.0,1.0,1125.0,7.0,0.0,77.0,0.0,0.21,6.0,18.0,12.0,5.0,19.0,1049.0,1005.0,470.0,23.333333333333332,1.0,0
33021,1.0,0.99,0.0,38.0,1.0,40.74657,-73.98706999999999,5.0,1.8553020310596189,3.0,83.0,1.0,1125.0,2.0,0.0,60.0,1.0,0.39,8.0,154.0,36.0,6.0,26.0,247.0,152.0,143.0,16.6,1.0,0
1747,1.0,0.0,0.0,1.0,1.0,40.66453,-73.97912,6.0,1.0,2.0,130.0,30.0,180.0,62.0,0.0,97.0,0.0,1.0,9.0,172.0,108.0,6.0,37.0,2755.0,1853.0,636.0,21.666666666666668,1.0,1
4086,1.0,0.43,0.0,18.0,0.0,40.78628,-73.97264,1.0,1.0,1.0,100.0,30.0,1125.0,12.0,0.0,95.0,0.0,0.17,3.0,16.0,385.0,3.0,7.0,3099.0,2108.0,1355.0,100.0,0.0,1
27035,1.0,1.0,0.0,2.0,0.0,40.68874,-73.94135,1.0,1.0,1.0,22.0,30.0,180.0,4.0,0.0,100.0,0.0,0.32,2.0,98.0,27.0,5.0,19.0,1943.0,375.0,326.0,22.0,0.0,1
13723,1.0,1.0,0.0,3.0,1.0,40.77763,-73.91126,6.0,2.0,4.0,129.0,3.0,1125.0,149.0,0.0,96.0,1.0,3.24,7.0,83.0,10.0,8.0,30.0,2633.0,1378.0,34.0,21.5,1.0,1
